Individual Name,Course_Link,Course_Title,Course_Description,Course_Type,Course_Prerequisite,Course_Comment,Course_Competency_to_be_achieved,Course_Content,has_Course_as_Prerequisite
Course_Agile_Business_Analysis,https://modulbeschreibungen.webapps.fhnw.ch/detail/23HS_9319045,Agile Business Analysis,"Business analysts perform work for many different types of initiatives across an enterprise. The practice of business analysis is applied within the boundaries of a self-chosen project based on the BABOK reference guide. In this project-based module, the competencies, knowledge and skills needed for performing business analysis tasks will be acquired and used. A clear focus is on applying agile approaches for business analysis and on exploring their advantages and disadvantages.
Core competencies:
Self managementCommunication capabilities
Analytical capabilities",elective,,,"Knowledge and Understanding: Students ...

    get an understanding of the BABOK knowledge areas and how to apply them in an agile project. The BABOK knowledge areas are (Obj. 1.2, Obj, 1.3).
    Business Analysis Planning and Monitoring, Elicitation and Collaboration Requirements,Life Cycle Management, Strategy Analysis, Requirements Analysis and Design Definition Solution Evaluation

Applying Knowledge and Understanding: Students ...

    are able to select and apply appropriate techniques for business analysis as described in the BABOK guide and the agile Extension to the BABOK Guide.
    learn to apply the BABOK guide within an agile project (e.g. Scrumbased). (Obj. 3.1, Obj, 3.2).

Making Judgements: Students ...

    should decide which BABOK KAs / tasks and agile methods are appropriate for their project (Obj. 2.3).
    are able to analyse a project and decide if a project should run as ""agile"" project.

Communications Skills: Students ...

    are able to communicate within the project team and can present the project results to the other students.

Learning Skills: Students ...

    Basis for the project are the BABOK guide and the agile Extension to the BABOK Guide. The studentswill be able to acquire detailed knowledge about the techniques in order to apply them in their project.","​Lectures:Introduction into Business Analysis
•Introduction to agile collaboration
•Introduction into BABOK (Knowledge areas and tasks)
•How to apply Babok in an agile context (e.g. linking with Scrum)
•BABOK case study
•Scaling agile",
Course_Alignment_of_Business_and_IT,https://modulbeschreibungen.webapps.fhnw.ch/detail/23HS_9173437,Alignment of Business and IT,"With the advancement of digitalization, information systems gain increasing strategic relevance for enterprises. This module deals with the ongoing alignment of business and IT during business transformations on all levels of the enterprise:business modelstrategyorganisation and processesapplicationsIT infrastructure
In order to deal with complexity and change, modeling is identified as a core competence for business analysis, decision making and enterprise architecture management.",mandatory,,"Links to other modules: Relation to Business Process Management, where business processes are modeled, which are also part of the enterprise architecture, and to Strategic Business Innovation for strategic alignment.","Knowledge and Understanding: Students ...

    understand businessIT alignment as the interaction of business model generation, strategic planning, business planning and IT planning
    understnd the role of enterprise architectures for the alignment of business and IT.
    understand the success factors for enterprise architecture management and will be able to deploy enterprise architecturethe importance and the role of models for communication between stakeholders from business and IT

Applying Knowledge and Understanding: Students ...

    are able todetermine and model business model, digital business strategy, business architecture and application architecture using standard modeling methods in order to support the alignment of business and IT (Obj. 1.2) [design skills]
    identify and realize architecture principles, in particular for sharing data and reusing services and functions (Obj. 3.2) [resultoriented acting]

Making Judgements: Students ...

    analyze appropriateness of enterprise architecture modelsjudge governance and organization of enterprise architecture management
    can analyze business situations in order to make decisions about business transformation and change projects [analytical skills, decision making]

Communications Skills: Students ...

    can use models for communication between stakeholders from business and IT (Obj. 3.2) [systematicmethodoloical thinking]]

Learning Skills: Students ...

    prepare individually for lectures. They learn the methods and are able to apply them in exercises during lectures.","Lectures cover the following areas:
•Introduction to Business- IT Alignment
•Digital Business Strategy
•Business Model Generation
•Enterprise Architecture Frameworks
•Modelling an Enterprise Architecture with Archi
•MateBusiness Motivation Modeling
•Conceptual Modelling
•Architecture Principles and Business Rules
•In addition, students work on an assignment for creating a new business model, develop an appropriate enterprise architecture and plan a change project. The case study will be a group work, coaching sessions are offered during the semester.",
Course_Applied_Computational_Intelligence,https://modulbeschreibungen.webapps.fhnw.ch/detail/23FS_9329854,Applied Computational Intelligence,"In general, the guiding principle of this module is as follows: (1) Take a real-world problem, (2) derive a simplified computational problem model (following the proposed 'optimization problem approach'), (3) apply a particular optimization method (belonging to Artificial respectively Computational Intelligence), (4) compute optimized solutions, and (5) discuss the results.
The objectives of the module are to enable the students to numerically solve 'nasty' real-world optimization problems by using special methods belonging to Artificial Intelligence (AI) - particularly nature-inspired methods, called Computational Intelligence (CI). This given numerical approach is applied for solving and optimizing complex problems in business (e.g. logistics, finance), computer science (e.g. game strategies) and engineering (e.g. bioinformatics, robotics).
The students learn about AI with a focus on CI as well as how to model, numerically simulate and optimize real-world problems on the computer. The following CI topics are particularly emphasized:Evolutionary Computation, Swarm Intelligence, Neural Networks, Fuzzy Logic, Meta-Heuristics, Robotics, and future AI developments and consequences
The front classroom teaching is reduced to only short inputs to the topics and the module project. Using most of the learning time of this module, the students conduct their own research project including the modelling of an application problem, the development (i.e. coding, implementing, customizing) of a software prototype (artefact) based on design science research.
This project within this module (i.e. in-semester research project) is based on Computational Science projects. The students take a (rather complex) real-world problem, derive a simplified computational model problem abstracting the real-world problem while referring to the state-of-the-art in literature. Then, they implement (i.e. code, customize) this model together with an optimization method (preferably a CI-related method) into a software prototype. Afterwards, the students run computational experiments (simulations on the computer), take the numerically optimized solutions, and discuss the obtained results with respect to their contribution to the real-world problem.
This module project comprises the development (e.g. coding, implementation or at least the usage and customization) of a small software prototype and the writing of a short research paper. The process of writing a research paper in style of a scientific conference paper will also be explained during the module.
The benefits of the module for the students are the following:The students learn about Computational Intelligence (natured-inspired AI and meta-heuristics) and different disruptive application areas, e.g. robotics.They improve their knowledge about how to conduct small research projects and how to write research papers (like in Research Methods for Information Systems or the Master thesis).They get background knowledge of design science research (and they may want to further pursue it in a Master thesis or even in a PhD research).With respect to the practice- respectively application-orientation, the students learn to numerically model, simulate and solve complex real-world problems by applying modelling, simulation and optimization techniques in a design-science-based approach. (i.e. a software prototype respectively artefact is built).Finally, the students understand and differentiate what optimization means and how it works. They apply selected CI (nature-inspired AI) methods and meta-heuristics.
Important requirements are sufficient programming/coding experiences or at least a strong interest in computational thinking and the ability to search and customize a suitable optimization software. Different optimization platforms will be proposed in the module as a potential basis for the implementation of the software prototype in this research project. Nevertheless, many other optimization codes or platforms are suited as well.
The core competencies of this module are (a) 'problem solving' by applying numerical optimization to solve an application problem, 'design capability' by applying design science research, and 'analytical thinking' by applying modelling, simulation, and optimization to solve a real-world problem numerically on the computer.",elective,"Important requirements for participating satisfyingly in this module are sufficient programming respectively coding skills in a common programming language, such as Java, Python, C, C++ etc. Or, at least a very strong interest in computational thinking and the ability to customize a software, as described above. Otherwise, an extensive effort in obtaining coding skills in additional self-study must be considered. Further examples of valuable pre-knowledge additionally to coding experiences are: Skills in using a software platform suitable for optimization, such as MATLAB, R, NetLogo, GNU Octave etc. Interest in integrating, using, customizing, and updating existing optimization platforms and libraries, such as OpenCI, jMetal, TensorFlow etc. Ability to search open-source optimization frameworks from other projects in the Internet, to install, run and customize them, such as old ACI projects, Google OR-Tools etc.","Depending on the Covid situation or other circumstances (energy situation etc.) the lectures and the coaching are sensibly organized onsite or online. Details will be communicated in class.
Links to other modules: Research Methods for Information Systems (Writing of scientific publications)
Knowledge Processing for Decision Making (alternative methods for knowledge processing)","Knowledge and Understanding: Students ...

    Model a realworld problem as a numerical optimization problem.Understand the optimization problem by identifying the problem model and the optimization method.Correctly define the optimization problem and its objectives for numerically finding optimized solutions as well as feasible search alternatives.Explain and differentiate the foundations and concepts of Computational Intelligence (CI) - thus, natureinspired AI - and other related methods used for numerical optimization.

Applying Knowledge and Understanding: Students ...

    Analyse the optimization problem by modelling the problem model and the optimization method.Create a computational optimization experiment to generate optimization results.Apply selected methods of Computational Intelligence in order to understand and practise selected optimization techniques.Execute modelling, simulation and optimization techniques for problem solving.Apply, develop, and implement software components in order to compute optimization problems (i.e. do Computational Science).

Making Judgements: Students ...

    Evaluate the computational optimization results.Draw (create) conclusions based on the computational optimization experiment and the computational results.Apply and evaluate optimization principles and methods to solve problems e.g. in management, logistics, engineering, information systems, and robotics in order to handle upcoming challenges in business and society as well as in research.

Communications Skills: Students ...

    Write a research paper related to an optimization problem and its solution.Present intermediate and final results within short presentations.

Learning Skills: Students ...

    Plan and conduct a small research project including modelling, simulation, and optimization as well as the implementation of a prototype.","Application areas, where CI is supportive and provides a potential impact: logistics, business, engineering, finance, economics, management, computer science, robotics, computer games, bioinformatics etc.
•Foundations of modelling, simulation, and optimization
•Numerical optimization problems consisting of problem models and optimization methods: Defining, assessing, and solving optimization problems (objectives, constraints, parameter sets, etc.)
•Foundations of Computational Intelligence, nature- inspired AI, particular AI methods, and meta- heuristics
•Particular Computational Intelligence (CI) optimization methods: Evolutionary computation (e.g. genetic algorithm, evolution strategy), swarm intelligence, neural networks, fuzzy logic, meta- heuristics, open- ended systems, computational creativity etc.
•Foundations of robotics and other application areas
•Computational Science: Applying software engineering and programming for modelling, simulating and optimizing problems, using software platforms and optimization platforms
•Researching, identifying, assessing, and discussing new trends, developments, and innovations, e.g. the rise of robotics",
Course_Artificial_Intelligence_for_Business_Processes,https://modulbeschreibungen.webapps.fhnw.ch/detail/23HS_9466957,Artificial Intelligence for Business Processes,"The focus is on the question of what possibilities AI (e.g., machine learning, automated decision support, voice assistants) offers to further advance the digitalisation of business processes. In doing so, it is important to think carefully about what should best be carried out by humans, what artificial intelligence is good at and where clever interaction leads to the best result.
In this module, students acquire the know-how and skills to decide what is feasible with AI. For this purpose, not only theory is taught, but the students can gain practical experience by applying our problem-based learning method.
Key topics:
Hyperautomation and intelligent process automationData-/ knowledge driven decision supportAI-service integration, orchestration and intelligent interfaces",elective,Core module: Business Process Management Basic programming or scripting skills as taught in the premaster Information Systems.,"Links to other modules: Business Process Management
Digitalisation of Business Processes
Digitalisation of Healthcare Processes","Knowledge and Understanding: Students ...

    Understand which processrelated problems can be solved with AI (and which cannot).
    Describe how an ideal interaction of natural and artificial intelligence in an organisational environment can be achieved.
    Understand the relationship between enterprise/process models and knowledge graphs.
    Understand the challenges of process mining. 

Applying Knowledge and Understanding: Students ...

    Combine and integrate APIs offering artificial intelligence (AI) and machine learning (ML) services.
    Design and integrate various user interfaces such as textdialoguebased (chatbots) or voicedialoguebased (virtual assistants) user interfaces.
    Anticipate future changes that AI technologies will bring to processes and identify opportunities for their application.
    Apply the methods of design thinking and rapid prototyping with processAI.
    Apply ontologybased enterprise/process modelling.

Making Judgements: Students ...

    Select adequate intelligent components such as AI or ML services or intelligent user interfaces.
    Assess the possibilities and limitations of artificial intelligence in process automation.
    Assess and critically evaluate the possibilities of AIsupported data or knowledgebased decisionmaking in process automation.

Communications Skills: Students ...

    Describe prototypes and the findings in portfolio.
    Present solutions convincingly in very short presentations (pitches).

Learning Skills: Students ...

    Develop solutions in a labstyle environment using case studies.
    Identify knowledge need regarding required AI tools.
    Research, discuss and correctly cite relevant AI literature.","Hyperautomation and artificial intelligence (AI)
•AutoML, managed machine learning platforms and AI from the cloud (AI/ML as a Service)
•Machine learning- based predictive modelling for business decision making
•Knowledge- based process decision support
•Decision support with deep learning
•Natural language processing, knowledge / information extraction from documents in document- centric workflows
•Data sources & data quality for ML- processes
•Intelligent workflow interfaces with dialogue systems, voice assistants, conversational AI
•Ontology- aided meta- modelling with AOAME
•AI- based process mining for decision support, compliance and quality assurance
•Design thinking, project management, prototyping and pitching for process- AI",Course_Business_Process_Management
Course_Business_Analytics_Quantitative_Methods,https://modulbeschreibungen.webapps.fhnw.ch/detail/23FS_9179929,Business Analytics: Quantitative Methods,"Business Analytics uses the increasing amount of available data to gain insight into business problems and propose competitive solutions. Thus the module deals with the use of quantitative methods to support managerial work. Evidence based management must take into account the quality of data and the uncertainty in results and predictions.The Students acquire knowledge and skills in statistical data collection and procurement, data preparation, analysis, modelling,prediction and simulation. The methods come from probability, simulation, exploratory and inferential statistics including multiple regression. The application areas range from supply to operations, marketing, strategy and competitiveness analysis.The Students carry out hands-on exercises with up-to-date software and with business data.",elective,"Basic algebra (solving equations in one variable) and calculus (analysis of the features of functions and notion of derivative), basic probability theory, descriptive statistics (measures of location and dispersion, tables and graphs), confidence interval and t-test for a mean and for a proportion. Treatment-Control experiment design and two-sample t-test. This material is normally covered in a Bachelor of Business Administration curriculum.",The course uses the statistical environment R with the graphical user interface R-Studio.,"Knowledge and Understanding: Students ...

    understand the properties and the quality of data for statistical analysis. They know measurement levels and understand which methods are appropriate for them. They understand the concept and importance of random sampling and random assignment for trials. They understand uncertainty and know how to discuss it. Focus: Medium

Applying Knowledge and Understanding: Students ...

    are able to apply exploratory, simulation and inferential methods to data using appropriate software. Focus: High
    Focus competencies of this module are problem solving and the development of analytical skills.

Making Judgements: Students ...

    can interpret and critically evaluate the results of an analysis in their business context. They take into account quality and, in particular, uncertainty and assess conditions and limitations. Focus: High

Communications Skills: Students ...

    are able to formulate the results of an analysis and to discuss the quality of data, methods and results. They can explain the relevance of an analysis for a business problem. Focus: Medium

Learning Skills: Students ...

    are able to learn new methods on their own. Focus: Medium","Statistical methods: Data acquisition, collection and data preparation, in particular survey research methods, and the quality of data are discussed.
•The concepts of decision making under uncertainty and statistical knowledge formation are introduced. Estimation and Hypotheses testing are reviewed. Statistical data analysis, model building and assessment with linear models (multiple regression) are central to the course. Extensions are, for example, multivariate statistics or time series analysis.
•Queueing and simulation: An introduction to queuing theory and discrete event simulation is given including thier application to business cases.",
Course_Business_Intelligence,https://modulbeschreibungen.webapps.fhnw.ch/detail/23HS_9373052,Business Intelligence,"Business Intelligence is concerned with supporting business decisions with facts or, put another way, with helping business actors in turning data into knowledge that helps to make the right decisions. The module looks at different kinds of decisions (and hence requirements), at different kinds of data and different kinds of tools required to distill knowledge out of data.The Students learn to model problems for correct data extraction, design meaningful reports, build predictive models and text mining applications.
The main competencies addressed in this course are analytical, problem solving and communication skills.",mandatory,,,"Knowledge and Understanding: Students ...

    understand why factbased decision making is usefulbe able to explain what business performance management is and how it can be implemented understand the whole diversity of requirements of the business towards BI analysis tools understand the potential value and application areas of big data technologies (including text mining), describe their potential to improve/innovate businesses (Objective 3.1) understand success factors and barriers for projects that introduce BI

Applying Knowledge and Understanding: Students ...

    be able to design meaningful and informative reports and dashboards that satisfy business information needs (Objective 1.5) know and be able to apply instruments for data exploration and visualisation, such as online analytical processing
    be able to derive multidimensional models from a description of business information needs (Objective 1.5)
    be able to apply information extraction methods for ETL with unstructured data; understand the potential of such methods e.g. for analysis of customer feedback on social mediabe able to formulate problems as data mining tasks and to derive and interpret results (Objective 1.5)

Making Judgements: Students ...

    be able to recognise and discuss potential risks of applying business performance management (e.g. consequences of measuring with suboptimal KPIs)be able to judge and select appropriate Big Data technologies for given business scenarios be able to identify ethical and legal issues for BI projects
    be able to judge the potential that predictive analytics techniques have for improving effectiveness and efficiency of decisionmaking (Objective 3.1)

Communications Skills: Students ...

    be able to design a Balanced Scorecard for a company, including meaningful key performance indicators; be able to use a Balanced Scorecard as a means of communication for goals and measurements. be able to elicit analytical requirements, e.g. based on interviews with business stakeholders (Objective 1.1) be able to discuss ethical and legal issues for BI projects

Learning Skills: Students ...

    be able to develop strategies for successful communication and cooperation with business partners to achieve BI objectives","Introduction to Business Intelligence
•Requirements for BI systems
•Business Performance Management
•Reporting and dashboarding
•Multidimensional analyses
•Multidimensional modeling (Data warehousing)
•Data Mining: predictive analytics (classification + regression)
•Big DataIntroduction + architectures
•Variety: information extraction and text mining
•Velocity: complex event processing
•Management of BI: Success factors of BI projects
•Ethical and legal issues of BI",
Course_Business_Process_Management,https://modulbeschreibungen.webapps.fhnw.ch/detail/23HS_9108988,Business Process Management,"As a holistic approach, business process management (BPM) covers various factors, including strategic alignment, governance, lean management, modeling, people, and culture for operating, improving, and innovating business processes. The course introduces fundamental frameworks, models, and methods in BPM and applies them to real-world cases.",mandatory,,Links to other modules: recommended prior to this module: Pre-Master Business Process Management,"Knowledge and Understanding: Students ...

    Know the foundations of BPM and understand the relevance of BPM for organizational performance (focus: medium / competence: expertise in BPM, interdisciplinary knowledge)Know key frameworks, models, and methods of BPM and understand when to apply them (focus: high / competence: expertise in BPM, interdisciplinary knowledge)

Applying Knowledge and Understanding: Students ...

    Know the foundations of BPM and understand the relevance of BPM for organizational performance (focus: medium / competence: expertise in BPM, interdisciplinary knowledge)Know key frameworks, models, and methods of BPM and understand when to apply them (focus: high / competence: expertise in BPM, interdisciplinary knowledge)

Making Judgements: Students ...

    Assess options for process improvement and innovation (focus: high / competence: problem solving, innovativeness)Assess BPMrelated decisions in organizations (focus: medium / competence: decisionmaking capacity)

Communications Skills: Students ...

    Present solutions to BPM cases in a compelling manner (focus: medium / competence: communication skills)

Learning Skills: Students ...
","Strategic alignment
•Process governance
•Process improvement
•Process innovation
•Process and Case Modeling
•Processes and Decisions
•Workflowmanagement
•BPM skills and roles
•BPM culture
•BPM cases",
Course_Challenging_International_Managers_and_Leaders,https://modulbeschreibungen.webapps.fhnw.ch/detail/23HS_9144298,Challenging International Managers and Leaders,"This elective module is based on inputs (lectures, case studies) provided by top managers and leaders from international companies and assignments on the content provided during the class. The lecture present cases from real-world and the students are asked to challenge the leaders’ work, develop solutions/recommendation and engage with a reflective process to encourage professional and personal development.",elective,,,"Knowledge and Understanding: Students ...

    are ableto identify and describe key challenges of topmanagers and leaders (Descionmaking ability / Entscheidungsfähigkeit)

Applying Knowledge and Understanding: Students ...

    are able to incorporate scientific findings for improved leadership and change management in a complex and dynamic world (Crossdisciplinary knowledge / Fachübergreifende Kenntnisse)

Making Judgements: Students ...

    are able to critically reflect upon their mental models and their impact on the identified leadership challenges (Systems thinking / Ganzheitliches Denken)

Communications Skills: Students ...

    are able present work articulately and convincingly

Learning Skills: Students ...

    are able to develop and to corroborate concrete plans for future action to develop their leadership skills (Design capability / Gestaltungsfähigkeit)","This elective module aims at the very much advanced student seeking to be challenged
•by real- world cases from different areas, be it mergers & acquisitions, digitalization,
•turning companies around, managing change, coping with a crisis or another topic of
•general interest.
•During the class, the students will get an introduction on challenges organizations are
•facing while adapting to an increasingly complex and uncertain world (incl. technological, economic, political, and cultural changes). Of special interest is how organizational development and disruptive information technologies can be linked.
•A typical class structure will consist of an introduction from the guest manager's side
•followed by student group works. The lectures would provide their professional
•background and talk about one to three occurrences of importance (change process,
•merger or acquisition, crisis, turn- around, major project, digital transformations etc.) that
•they have witnessed or led up- front ('This is what I found and had to cope with.'). They
•will offer these 'stories' as case studies that the students will later have to deal with in
•groups. The students will diagnose the situation and develop a shared understanding of
•how to plan and implement the change. The students will compete against each other in
•terms of innovative solutions including a sound implementation plan. Dealing with cases
•will also involve role- play.
•Finally, the students' solutions will be complimented by the real- case scenario ('This is
•how I or others actually did in order to cope with the challenge. And this is what
•happened.') presented by the guest manager in class.​
•The module is based on inputs (lecture, case studies) provided by 9 top managers and leaders from international companies and assignments on the content provided during the class. Dealing with challenging cases, students will learn interactively by developing solutions and having them challenged by the lecturing manager.
•Various topics covering a number of areas related to international management and organization development (the topics depend on the guest managers’ areas of expertise and experience).
•The class structure and teaching methods employed will be interactive in nature, and participants will be required to present their solutions both orally (as presentations) and in a written format to complement the learning outcomes.​",
Course_Cloud_Computing,https://modulbeschreibungen.webapps.fhnw.ch/detail/23FS_9330772,Cloud Computing,"Cloud Computimg is gaining more and more importance in companies and today forms an essential part of the modernization of IT, which enables the digitalization of the company. The guiding principle of the module is to provide participants with the technical and management cloud skills of the future to help companies evaluate and use the cloud. The participants can thus play an important role in the transformation of IT.",elective,,Links to other modules: Core Module IT Management & Cloud where some cloud basics are discussed,"Knowledge and Understanding: Students ...

    understand the different cloud service and deployment models
    the cloud challenges of security and integration with focus on hybrid and multi cloudsthe process of the definition of the cloud strategyhow the cloud selection takes place and how the companies get prepared for the cloud usagehow cloud influences the application development with focus on Microservices and DevOpshow the automatization of the IT takes placewhy cloud services are enabler of the digitalisationhow cloud transforms the IT

Applying Knowledge and Understanding: Students ...

    are able to use and work with services from the azure plattformdefine the cloud strategy of an organizationidentify how an enterprise get prepared for the cloud usageselect and evaluate cloud servicesidentify how cloud transforms the enterprise IT

Making Judgements: Students ...

    can analyse appropriateness of clouds services for which areasjudge the risks and benefits of a cloud usage

Communications Skills: Students ...

    can use models for communication between stakeholders from business and IT (Obj. 3.2)

Learning Skills: Students ...
","​Part 1: Get to Know Cloud (inkl. Hands- On) - Defining cloud - the different faces of cloud
•Cloud maturity models and cloud challenges
•Hybrid and multiclouds - the big shift of the enterprise IT and the challenges
•Cloud hands on with the Microsoft azure Stack - IaaS and PaaS
•Part 2: The Way in to the Cloud
•Defining the cloud strategy
•Service quality & service selection
•Cloud security and cyber security
•Cloud market overview & cloud certificates
•Part 3: Cloud and Transformation Application development and cloud - DevOps containers & microservices
•The internal IT as a broker
•Cloud and digital transformation (innovation)
•Cloud und digital transformation (IoT, Machine Learning, Edge Computing )
•Conclusion",
Course_Cyber_Security_and_Cyber_Resilience,https://modulbeschreibungen.webapps.fhnw.ch/detail/23FS_9244980,Cyber Security and Cyber Resilience,"As threats to cyber security become increasingly ominous, sophisticated and unpredictable, CEOs, CIOs and other decision makers must address related risks. Large organizations must also manage complex networks of service providers and many of whom have access to customers, sensitive data and critical technology. Under these circumstances, many organizations struggle to maintain the continuous vigilance and end-to-end visibility across the entire service delivery chain that is essential to a viable cybersecurity strategy and the resulting operationalization.
In this course, we derive key challenges of cybersecurity and how effectively address them by adopting relevant frameworks, best practices as well as governance mechanisms claimed as 'cyber resilience'. Where appropriate, we also touch on areas of information or information security. Main areas discussed are aligned with the NIST framework:

    IDENTIFY, organizational understanding/awareness to managing cybersecurity risk to systems, people, assets, data, and capabilities
    PROTECT, safeguards based on standards (ISO 27K), frameworks (NIST, COBIT, CSX) and best practices (selective white papers, recommendations)

    DETECT, appropriate activities to identify the occurrence of a cybersecurity event
    RESPOND, indispensable actions after a cybersecurity event
    RECOVER, restore any capabilities or services that were impaired due to a cybersecurity event and future resistance plans


Special emphasis will be placed on ´Data Privacy and Protection´ and ´Technical Insights´.
There will also be a view on the specifics and experiences of external parties, the ´Service Providers´. Therefore, an essential part of the course are the guest lectures by cyber security experts from the field and their solutions. The course does not focus on very technical aspects but on the systemic, governance and management level in dealing with cyber risks.
The most relevant competences that can be achieved with the content, as well as with the assignments to be completed in this module are:
Assuming the role of a responsible leader, the following competences.

    Systematic approach (decision-making ability, systematic-methodical approach)
    Result-oriented action (effectiveness of action, success orientation, output orientation) Awareness and classification of CSR as a dynamic discipline

    Learning and professional competence (professional knowledge, professional orientation and perfection, knowledge of technology and methods)

    Knowledge of the necessity of continuous learning on the topic Sense of responsibility

    Analytical skills (exactness, precision, accuracy)",elective,Basic IT management and governance mechanisms,Links to other modules: Compliance Management and Governance of IT (ITGCM) -> recommended as preparation (ex ante) or as supplement (ex post),"Knowledge and Understanding: Students ...

    High: Participants are able to explain comprehensively cyberspace risks and impacts facing CIOs as well as other decision makers in (large) enterprises and/or other environments. In addition, they know most relevant mechanisms to assess, protect, react and mitigate cyberrisks. Medium: Participants understand the rapidly increasing requirements in terms of transforming regulatory provisions, risk posture, balancing global and local requirements, managing data, and applying relevant frameworks and metrics.

Applying Knowledge and Understanding: Students ...

    Medium: Participants are able to apply selective cyber security related concepts and/or mechanisms in their own working context or in cases. The participants understand the (economic) necessity for organizations (and individuals) to consider cyberspace risks of ""everything"", e.g. supply chain, IoT. I4.0.

Making Judgements: Students ...

    High: Participants know most of the ""standard"" cyberrelated risks and foundational mitigation concepts; based on this they are able to conduct an awareness assessment within there working situation or in a case. The results give them the opportunity to come with prioritized recommendations.

Communications Skills: Students ...

    Medium: Participants, will be able to discuss the obligation to establish a cyberresilient organization, to discuss a draft cyber security / resilience concept for enterprises based on NIST framework or others, including appropriate measurement indicators, or to discuss a selective topic around cyber security / resilience, and will be able to conduct a discussion about ""ethical hacking"" and take up a critical position.

Learning Skills: Students ...

    Selfdirected learning with presentations, reference models, best practices, and other material. Instructed exercises by use of a “hacking lab”.","Part I - Organizational Insights
•Introduction - Context, Impacts, UncertaintiesRelevance - Complexity of Security, CERT perspective in Switzerland and moreover
•Resilience - The Role of Organizational Cybersecurity Culture
•International / National Institutions to Address Cyber Threats
•Best Practices and Frameworks (NIST, ISO 27K, COBIT)
•Part II - Technical Insights
•Threats to digital system and Fundamentals
•Exploiting I: Basics of Software Weaknesses
•Exploiting II: Advanced topics in Software Weaknesses
•Security Testing and Security Mechanisms
•Concepts for building reliable software without manually proving the functionality
•Part IV - Practitioner Insights
•CSR from a Service Provider perspective
•CSR from Big Corporate perspectiveCSR from Life Science perspective",
