Individual Name,Group_Name,Professor_Name,Professor_Surname,Day,Time,Periodicity,Semester,Location,AY
Course_Agile_Business_Analysis,Group A, Knut, Hinkelmann, Saturday, 13:15-17:00, Weekly, Spring, Olten, 2024/2025
Course_Agile_Business_Analysis,Group A, Knut, Hinkelmann, Thursday, 13:15-17:00, Weekly, Autumn, Olten, 2024/2025
Course_Alignment_of_Business_and_IT,Group A, Knut, Hinkelmann, Friday, 17:15-21:00, Weekly, Spring, Olten, 2024/2025
Course_Alignment_of_Business_and_IT,Group B, Knut, Hinkelmann, Friday, 08:15-12:00, Weekly, Spring, Olten, 2024/2025
Course_Alignment_of_Business_and_IT,Group A, Knut, Hinkelmann, Wednesday, 08:15-12:00, Weekly, Autumn, Olten, 2024/2025
Course_Alignment_of_Business_and_IT,Group B, Knut, Hinkelmann, Wednesday, 13:15-17:00, Weekly, Autumn, Olten, 2024/2025
Course_Applied_Computational_Intelligence,Group A, Rolf, Dornberger, Friday, 13:15-17:00, Weekly, Spring, Olten, 2024/2025
Course_Artificial_Intelligence_for_Business_Processes,Group A, Emanuele, Laurenzi, Tuesday, 13:15-17:00, Weekly, Autumn, Olten, 2024/2025
Course_Business_Analytics_Quantitative_Methods,Group A, Fabian, Heimsch, Wednesday, 13:15-17:00, Weekly, Spring, Olten, 2024/2025
Course_Business_Intelligence,Group A, Hans Friedrich, Witschel, Tuesday, 13:15-17:00, Weekly, Spring, Olten, 2024/2025
Course_Business_Intelligence, Group B, Hans Friedrich, Witschel, Tuesday, 17:15-21:00,  Weekly, Spring, Olten, 2024/2025
Course_Business_Process_Management, Group A, Knut, Hinkelmann, Wednesday, 13:15-17:00, Weekly, Spring, Olten, 2024/2025
Course_Business_Process_Management, Group B, Knut, Hinkelmann, Saturday, 08:15-12:00, Weekly, Spring, Olten, 2024/2025
Course_Business_Process_Management, Group A, Knut, Hinkelmann, Saturday, 08:15-12:00, Weekly, Autumn, Olten, 2024/2025
