index,title,description,uri
S1,acquire system component,"Obtain hardware, software or network components which match other system components in order to expand it and perform necessary tasks.",http://data.europa.eu/esco/skill/90be83d9-56f1-46a4-a6bc-96c51f6c9025
S2,adapt to changes in technological development plans,Modify the current design and development activities of technological projects to meet changes in requests or strategies. Ensure that the organisation's or client's needs are met and that any sudden requests which were not previously planned are implemented.,http://data.europa.eu/esco/skill/f5308e60-d763-4ead-be95-88c96fb3e02b
S3,adapt to changing situations,"Change approach to situations based on unexpected and sudden changes in people's needs and mood or in trends; shift strategies, improvise and naturally adapt to those circumstances.",http://data.europa.eu/esco/skill/5592ab32-4e7a-4cda-8e64-ca36d5de8a10
S4,address problems critically,"Identify the strengths and weaknesses of various abstract, rational concepts, such as issues, opinions, and approaches related to a specific problematic situation in order to formulate solutions and alternative methods of tackling the situation.",http://data.europa.eu/esco/skill/b9f16465-56a9-426b-a047-0f9f1f95ec92
S5,adhere to organisational guidelines,Adhere to organisational or department specific standards and guidelines. Understand the motives of the organisation and the common agreements and act accordingly.,http://data.europa.eu/esco/skill/aa238394-8126-4ada-be2f-9dfe065cf314
S6,adjust ICT system capacity,"Change the scope of an ICT system by adding or reallocating additional ICT system components, such as network components, servers or storage to meet capacity or volume demands.",http://data.europa.eu/esco/skill/b1604a2d-c26a-427d-bda9-b8073a319fe9
S7,administer ICT system,"Handle components of ICT system by maintaining configuration, managing users, monitoring resource use, performing backups and installing hardware or software to comply with the set requirements.",http://data.europa.eu/esco/skill/0868eef3-2213-4572-9343-74931345a7d3
S8,advice on security risk management,"Provide advice on security risk management policies and prevention strategies and their implementation, being aware of the different kinds of security risks a specific organisation faces.",http://data.europa.eu/esco/skill/e71c6cee-7247-49f4-829a-141c880ae938
S9,advise client on technical possibilities,"Recommend technical solutions, including systems, to the client within the framework of a project.",http://data.europa.eu/esco/skill/7b3abd38-61ae-42a4-88bb-0884784f9ee1
S10,advise on environmental remediation,Advise on the development and implementation of actions which aim to remove sources of pollution and contamination from the environment.,http://data.europa.eu/esco/skill/b422efe7-b151-4120-86ae-db11a48dd0fa
S11,advise on safety improvements,Provide relevant recommendations following the conclusion of an investigation; ensure that recommendations are duly considered and where appropriate acted upon.,http://data.europa.eu/esco/skill/37838e04-ac5f-43a5-82d0-35f42351fd60
S12,advise on strengthening security,Provide information and guidance to clients on how to prevent security threats and incidents.,http://data.europa.eu/esco/skill/370ebe1f-55a5-424f-a44e-f3c19222d63b
